07/04/2026 - 19:38:20 (-3 TMZ) | 06:00:03:20 (Artemis Clock) | and plus X flange heaters are on, and prop avionics are configured.
08/04/2026 - 05:04:23 (-3 TMZ) | 06:09:29:23 (Artemis Clock) | We've just surpassed 25 years of continuous human presence living and working in space. This will be the first time that these two spacecraft have ever talked to each other.
08/04/2026 - 05:04:48 (-3 TMZ) | 06:09:29:48 (Artemis Clock) | This is the first flight of humans aboard the Orion spacecraft, and in the official flight kit aboard Orion are some special flags. One of those is from Apollo 18. This is the American flag that would have been planted on the moon during that mission, should it have occurred. It was on display in the NASA Headquarters building in Washington, D.C., making it...
08/04/2026 - 05:05:04 (-3 TMZ) | 06:09:30:04 (Artemis Clock) | its way around the moon over 50 years since its originally intended flight. The other American flag aboard Orion is from a little more recent history. It was flown on STS-1, the first Space Shuttle flight; STS-135, the last Space Shuttle flight; and NASA SpaceX Demo-2.
08/04/2026 - 05:05:30 (-3 TMZ) | 06:09:30:30 (Artemis Clock) | 202,306 nautical miles away. Earth is pulling us back and we are happy about that. We're ready for morning DPC.
08/04/2026 - 05:05:49 (-3 TMZ) | 06:09:30:49 (Artemis Clock) | and a nominal RTC last are on board.
08/04/2026 - 05:06:15 (-3 TMZ) | 06:09:31:15 (Artemis Clock) | Reid and I are both members and we're proud to welcome the two of them to this international body of human space explorers, and also congratulations to Jack Hathaway who recently joined aboard the International Space Station. Thank you. Thank you for those words, and welcome.
08/04/2026 - 05:06:22 (-3 TMZ) | 06:09:31:22 (Artemis Clock) | Welcome to the club.
08/04/2026 - 05:06:28 (-3 TMZ) | 06:09:31:28 (Artemis Clock) | Integrity, this is Houston. Are you ready for the event?
08/04/2026 - 05:06:33 (-3 TMZ) | 06:09:31:33 (Artemis Clock) | Integrity is ready for the event.
08/04/2026 - 05:06:38 (-3 TMZ) | 06:09:31:38 (Artemis Clock) | Station, this is Mission Control Houston. Please call Integrity for a voice check.
08/04/2026 - 05:06:58 (-3 TMZ) | 06:09:31:58 (Artemis Clock) | Space Station, how do you hear?
08/04/2026 - 05:07:01 (-3 TMZ) | 06:09:32:01 (Artemis Clock) | Hey, International Space Station and Jessica, we have you loud and clear. How about us?
08/04/2026 - 05:07:20 (-3 TMZ) | 06:09:32:20 (Artemis Clock) | We are so excited. We feel like you're here with us, and this is really just making our entire week right now.
08/04/2026 - 05:07:37 (-3 TMZ) | 06:09:32:37 (Artemis Clock) | We have been waiting for this like you can't imagine. Let me go check on our PFD. We are 201,726, now 25 nautical miles from planet Earth, which is just hard to believe. The scales are impossible to believe. And for the run of show this morning...
08/04/2026 - 05:07:43 (-3 TMZ) | 06:09:32:43 (Artemis Clock) | I'll say a quick hi, which I have done. I'll hand the microphone to fellow chump Jeremy. He can say a quick hi, and then we'll let you three eight balls who get on with it.
08/04/2026 - 05:08:08 (-3 TMZ) | 06:09:33:08 (Artemis Clock) | Maybe a tiny bit of microphone time before the eight balls get after it. But it's such a pleasure to be spending a little bit of time with our colleagues in space, and we talk so much up here, we try to anyway, emphasize how important the work is that we do.
08/04/2026 - 05:08:28 (-3 TMZ) | 06:09:33:28 (Artemis Clock) | It's fun to be up in space with you at the same time.
08/04/2026 - 05:08:39 (-3 TMZ) | 06:09:33:39 (Artemis Clock) | We are so excited to be up here with you, and we had a couple questions. We are wondering, we know how fortunate all of us are as humans to come up here and look down at the Earth from above. Every astronaut that comes to space remarks on that. And we really wanted to hear what that felt like, how different...
08/04/2026 - 05:08:45 (-3 TMZ) | 06:09:33:45 (Artemis Clock) | What does that felt now from your new perspective around the moon?
08/04/2026 - 05:09:10 (-3 TMZ) | 06:09:34:10 (Artemis Clock) | Awesome, being able to see specific places, being able to see your home specifically. So y'all's views are absolutely incredible and I miss them every day almost. The thing that changed for me looking back at Earth was that I found myself noticing not only the beauty of the Earth.
08/04/2026 - 05:09:41 (-3 TMZ) | 06:09:34:41 (Artemis Clock) | we have some shared things about how we love and live that are just universal, and the specialness and preciousness of that really is emphasized when you notice how much else there is around it.
08/04/2026 - 05:10:12 (-3 TMZ) | 06:09:35:12 (Artemis Clock) | Your next spacewalk day, everybody, but thank you for cheering us along anyway. And Jessica, I always hoped we would be in space again together, but I never thought it would be like this. It's amazing. Congratulations to you on being Commander, and I hope you have an amazing rest of your trip in space.
08/04/2026 - 05:10:43 (-3 TMZ) | 06:09:35:43 (Artemis Clock) | A few miles apart. We like to joke about that up here, too, because everyone's talking about the records and the distance, and we ran to the far end of the space station when you guys were on the other side so that we could claim we were the furthest away from you in that moment.
08/04/2026 - 05:11:00 (-3 TMZ) | 06:09:36:00 (Artemis Clock) | Love all of you so, so much. We were doing the same shenanigans here when we got to the furthest point from the Moon. I tried to get to the furthest point in the spacecraft and my crewmates were clawing me down. And I know that's a joke. We were busy doing science, but we had that same conversation.
08/04/2026 - 05:11:30 (-3 TMZ) | 06:09:36:30 (Artemis Clock) | to the seven members of the International Space Station, and this has been a true treat. It takes the entire world to do amazing things like this, and to get to come together as this group of people and talk for just a minute at these distances, we are all off the planet Earth right now, and we're all going to go home to that planet, and that is a very special thing. So thank you all for tuning in.
08/04/2026 - 05:11:50 (-3 TMZ) | 06:09:36:50 (Artemis Clock) | The station in low Earth orbit will keep the fires burning here.
08/04/2026 - 05:11:56 (-3 TMZ) | 06:09:36:56 (Artemis Clock) | And we'll keep carrying the fire. Thanks, guys. Over and out.
08/04/2026 - 05:12:21 (-3 TMZ) | 06:09:37:21 (Artemis Clock) | yesterday during their lunar flyby, sharing any findings or interesting information with the science team while it's all still fresh for the crew members. Of course, they have quite a lot of audio recordings that have been downlinked to the science team, and that team has been reviewing and will continue to do so to help them understand what the crew saw.
08/04/2026 - 05:12:26 (-3 TMZ) | 06:09:37:26 (Artemis Clock) | cruise saw and formulate new thoughts about our moon.
08/04/2026 - 05:12:52 (-3 TMZ) | 06:09:37:52 (Artemis Clock) | The lunar science team and the broader science community has been pouring out positive feedback and gratitude, so know that what you did yesterday really made a difference scientifically. I also want to say the science team has confirmed locations of the proposed Integrity and Carroll craters, and it was such a powerful moment here.
08/04/2026 - 05:13:38 (-3 TMZ) | 06:09:38:38 (Artemis Clock) | for everybody listening and following along. And then also, just before I dive into the list of questions, we heard both Christina and Victor yesterday commenting that being able to discuss with each other amongst your crew, taking things from observation to inference to hypothesis,
08/04/2026 - 05:13:44 (-3 TMZ) | 06:09:38:44 (Artemis Clock) | These really added scientific value, and so we'd love to build on that here. So we'll ask specific questions for you guys, but please treat it like a discussion as we heard you yesterday that that enhanced value. When you're ready, I'll dive into our questions.
08/04/2026 - 05:13:49 (-3 TMZ) | 06:09:38:49 (Artemis Clock) | Okay, for Christina and Victor, during Earth's set, we heard you say that the Earth was so bright it made the moon look dark. So you all had the Earth in view during the majority of your flyby. Did you notice any time when the brightness of Earth began to...
08/04/2026 - 05:13:54 (-3 TMZ) | 06:09:38:54 (Artemis Clock) | to change your view of the moon's brightness, and can you describe how your perception of the moon's color changed as the Earth came closer to the moon?
08/04/2026 - 05:14:30 (-3 TMZ) | 06:09:39:30 (Artemis Clock) | I think it's the angle of incidence. The angle of the sun to the moon didn't change much, but we moved to the side, so we were seeing a different angle, and the color was less apparent. Oriental had also rotated really close to the limb, so a lot of the features that I was looking at were moving away, but I think the change in lighting
08/04/2026 - 05:14:55 (-3 TMZ) | 06:09:39:55 (Artemis Clock) | It was so bright it looked out of place. The gray, the moon, and the black of space kind of seemed to go together, but then the, kind of more in the dull sense, but then the vividness and brightness, like the difference between an LED display and a painting, right?
08/04/2026 - 05:15:15 (-3 TMZ) | 06:09:40:15 (Artemis Clock) | continue to dim the albedo and color that was earlier apparent in the moon. I'm passing to Christina.
08/04/2026 - 05:15:28 (-3 TMZ) | 06:09:40:28 (Artemis Clock) | You saw me nodding vigorously back here. That wasn't just my fantastic listening skills. I was nodding to make sure, oh, we're not on video. This whole time I've been sitting on the show. I was nodding, now you know, because I agree.
08/04/2026 - 05:15:53 (-3 TMZ) | 06:09:40:53 (Artemis Clock) | which was, I think I made the comment that the moon turned into a sponge, a sponge of light. In my mind, before the Earth came into view, the moon actually was reflecting light, and it was lit up. As soon as the Earth got close enough to be in my view.
08/04/2026 - 05:16:18 (-3 TMZ) | 06:09:41:18 (Artemis Clock) | Next question is for all of you. Ohm Crater was observed by all four of you, and we're interested in whether your different viewing angles resulted in how you observed Ohm. Jeremy and Reed saw it first. Were you able to see the ejecta?
08/04/2026 - 05:16:29 (-3 TMZ) | 06:09:41:29 (Artemis Clock) | You raised the central peak, and then Christina and Victor, you were next, and you observed Ohm later in the past. Could you resolve similar or different features than what you're about to hear from Jeremy and Reed?
08/04/2026 - 05:16:55 (-3 TMZ) | 06:09:41:55 (Artemis Clock) | I mean, it definitely changed as we went around the moon, but it did not change that much. It was always there, and it was always fairly apparent. What is more apparent than the ejecta is the like the brownish-gray darker area that makes the like 12 o'clock to 3 o'clock cut of the pie shape. Like, that was always there.
08/04/2026 - 05:17:15 (-3 TMZ) | 06:09:42:15 (Artemis Clock) | drastically as we went around the moon, unlike Oriental, which drastically changed as we went around the moon.
08/04/2026 - 05:17:35 (-3 TMZ) | 06:09:42:35 (Artemis Clock) | Ray about that comes out of roughly the 3 o'clock position was on the Mare, and I'm not sure if I was picking that up initially in our first observations, but definitely in the latter. Did you notice that at all?
