06/04/2026 - 19:35:08 (-3 TMZ) | 05:00:00:08 (Artemis Clock) | Okay, impact flashes, zip reps in the blind. We got it.
07/04/2026 - 01:32:08 (-3 TMZ) | 05:05:57:08 (Artemis Clock) | All right, so just with email, we're still syncing. We did hear your comment about the priority list. Unfortunately, it turns out that there was a miscommunication on that, so we're working it. We've got a couple of solutions in mind to reduce the volume of email.
07/04/2026 - 01:32:19 (-3 TMZ) | 05:05:57:19 (Artemis Clock) | that you're getting, but we probably won't get there tonight. So the uplink you're getting now is not truncated, but we are pursuing a solution to truncate those in the future.
07/04/2026 - 01:32:40 (-3 TMZ) | 05:05:57:40 (Artemis Clock) | Okay, and what's your ETA on how much longer you want us hands-off email, or we're just not going to have access tonight?
07/04/2026 - 01:32:50 (-3 TMZ) | 05:05:57:50 (Artemis Clock) | We are aiming for twenty minutes on that. Thanks for bearing with. Sorry again.
07/04/2026 - 01:33:10 (-3 TMZ) | 05:05:58:10 (Artemis Clock) | An email around the moon was not something we expected to have anyway.
07/04/2026 - 01:33:29 (-3 TMZ) | 05:05:58:29 (Artemis Clock) | from the ACU, so OE2 will be unavailable for about an hour while we are playing back some of your comm from earlier.
07/04/2026 - 01:33:55 (-3 TMZ) | 05:05:58:55 (Artemis Clock) | And last but not least, the overboard vent valve is closed, so you are go to go.
07/04/2026 - 01:34:06 (-3 TMZ) | 05:05:59:06 (Artemis Clock) | All right, good work.
07/04/2026 - 01:50:24 (-3 TMZ) | 05:06:15:24 (Artemis Clock) | Crew are the four crew members of the Artemis II mission, which includes Reid Wiseman, Victor Glover, Christina Cook, and Jeremy Hansen. The crew recently completed their lunar flyby today during flight day six, and they are currently in their pre-sleep period, preparing to go to sleep in a little over an hour.
07/04/2026 - 01:50:30 (-3 TMZ) | 05:06:15:30 (Artemis Clock) | to wrap up flight day six.
07/04/2026 - 01:51:01 (-3 TMZ) | 05:06:16:01 (Artemis Clock) | light duty day. They will have a post-lunar flyby conference with the teams here on the ground, specifically the science team here on the ground, to discuss some of their lunar observations that were made during the flyby period today. And then they will have...
07/04/2026 - 01:51:27 (-3 TMZ) | 05:06:16:27 (Artemis Clock) | They return trajectory correction 1 burn should it be needed to further fine-tune the trajectory of the Orion spacecraft on its return leg of the journey. After that burn is complete, they will again have a couple of hours of free time, as it's going to be a mostly off-duty day for the crew.
07/04/2026 - 01:51:47 (-3 TMZ) | 05:06:16:47 (Artemis Clock) | radiation shelter demonstration, and during this radiation shelter demonstration, the crew will build a radiation shelter within the cabin of the Orion spacecraft and prepare lockers for radiation shelter ingress.
07/04/2026 - 01:52:12 (-3 TMZ) | 05:06:17:12 (Artemis Clock) | magnetic field, so the Orion spacecraft serves as the main protection against the sun's intense power. Radiation shielding in space is all about mass, so charged particles are slowed and absorbed as they pass through matter, and astronauts are trained to reconfigure their cabin during a solar particle event.
07/04/2026 - 01:52:43 (-3 TMZ) | 05:06:17:43 (Artemis Clock) | Testing this radiation-shielding procedure in the Orion spacecraft is one of the major objectives of the mission. During the uncrewed Artemis I mission, Orion was blanketed in 5,600 passive and 34 active radiation sensors, and the information they gathered
07/04/2026 - 01:53:09 (-3 TMZ) | 05:06:18:09 (Artemis Clock) | So similar to Artemis I, there are six active radiation sensors, collectively called the Hybrid Electronic Radiation Assessors, that will be deployed at various locations inside the Orion crew module. And then the crew also wears dosimeters inside their pockets, and these sensors
07/04/2026 - 01:53:29 (-3 TMZ) | 05:06:18:29 (Artemis Clock) | This data will be used by Mission Control to drive decisions for the crew to build a shelter to protect from radiation exposure due to space weather.
07/04/2026 - 01:53:54 (-3 TMZ) | 05:06:18:54 (Artemis Clock) | sensor for the Artemis II mission. The new version of the sensor offers six times more resolution to distinguish between different types of energy compared to the Artemis I version, and it will allow it to accurately measure the radiation exposure from heavy ions, which are thought to be particles.
07/04/2026 - 01:54:25 (-3 TMZ) | 05:06:19:25 (Artemis Clock) | Collectively, the sensor data will paint a full picture of radiation exposures inside the Orion spacecraft and provide context for interpreting the results of ARCHER/AVATAR, Artemis II standard measures and a moon bio markers experiment.
07/04/2026 - 01:54:56 (-3 TMZ) | 05:06:19:56 (Artemis Clock) | Velocity of the Orion spacecraft, along with its distance from the Earth and from the moon. So the distance from the moon is now increasing following that lunar close approach that took place earlier today. There's now just under 14,000 miles.
07/04/2026 - 01:55:15 (-3 TMZ) | 05:06:20:15 (Artemis Clock) | This is Houston, go ahead.
07/04/2026 - 01:55:41 (-3 TMZ) | 05:06:20:41 (Artemis Clock) | one on his CCD. Not to be alarmed if you see one disappeared. And then last, I thought you guys would be happy to know we have implemented your feedback for tomorrow, so we are ensuring that everyone will have exercise. And we are also going to move the rad shelter demo to flight day eight, where it is going to be condensed to focus on
07/04/2026 - 01:55:47 (-3 TMZ) | 05:06:20:47 (Artemis Clock) | on the highest priority objectives.
07/04/2026 - 01:55:53 (-3 TMZ) | 05:06:20:53 (Artemis Clock) | Awesome, that's great news all accounts. Thank you.
07/04/2026 - 01:55:58 (-3 TMZ) | 05:06:20:58 (Artemis Clock) | Thank you, have a great night.
07/04/2026 - 01:56:20 (-3 TMZ) | 05:06:21:20 (Artemis Clock) | Thank you, Tess, and you have a good night, too.
07/04/2026 - 01:56:51 (-3 TMZ) | 05:06:21:51 (Artemis Clock) | complete, and they were also discussing some of the activities that were scheduled for Flight Day 7, which is tomorrow. They did mention that they are actually going to move that radiation shelter demonstration that I was just mentioning a few moments ago, so that demonstration is now moving to Flight Day 8 to allow
07/04/2026 - 01:57:02 (-3 TMZ) | 05:06:22:02 (Artemis Clock) | the crew to have a larger, more off-duty day tomorrow with less tasks on the timeline.
07/04/2026 - 01:57:28 (-3 TMZ) | 05:06:22:28 (Artemis Clock) | The crew will just have their post-lunar flyby conference, and then possibly that return trajectory correction 1 burn should it be needed, otherwise they will have a pretty light duty day tomorrow.
07/04/2026 - 01:57:33 (-3 TMZ) | 05:06:22:33 (Artemis Clock) | With some free time to do as they please on this return journey back to Earth. Again, that splashdown targeted for Friday, April 10th.
07/04/2026 - 02:16:15 (-3 TMZ) | 05:06:41:15 (Artemis Clock) | Houston Integrity for AGA.
07/04/2026 - 02:16:19 (-3 TMZ) | 05:06:41:19 (Artemis Clock) | Go ahead for AGA, Christina.
07/04/2026 - 02:16:39 (-3 TMZ) | 05:06:41:39 (Artemis Clock) | and 10.5 PSIA.
07/04/2026 - 02:16:42 (-3 TMZ) | 05:06:41:42 (Artemis Clock) | We copy all. Thanks so much.
07/04/2026 - 02:16:45 (-3 TMZ) | 05:06:41:45 (Artemis Clock) | Thank you guys, good night.
07/04/2026 - 02:17:05 (-3 TMZ) | 05:06:42:05 (Artemis Clock) | For your awareness, we are still standing by for your go to resume the wastewater dump when you guys are ready.
07/04/2026 - 02:17:35 (-3 TMZ) | 05:06:42:35 (Artemis Clock) | Good night.
07/04/2026 - 02:17:38 (-3 TMZ) | 05:06:42:38 (Artemis Clock) | Okay, good night, Tess. We'll talk to you soon.
07/04/2026 - 02:17:41 (-3 TMZ) | 05:06:42:41 (Artemis Clock) | Good night, Reed.
07/04/2026 - 02:19:30 (-3 TMZ) | 05:06:44:30 (Artemis Clock) | mission control in Houston, Texas. The crew currently going into their pre-sleep and sleep period. They just did have a call down there as they are preparing for an upcoming wastewater dump. But in the meantime, I have Marie Henderson, Artemis II Deputy Lunar Science Lead, joining me on console for a few minutes. Hey, Marie, how are you? Very good. Thanks for having me.
07/04/2026 - 02:19:56 (-3 TMZ) | 05:06:44:56 (Artemis Clock) | I'm the deputy lunar science lead, but today I had the joy of a lifetime and held the role of the science evaluation room lead during the flyby today. So you mentioned the SIR, the science evaluation room, and being the lead during that flyby, so what was that experience like?
07/04/2026 - 02:20:21 (-3 TMZ) | 05:06:45:21 (Artemis Clock) | Complete joy in that room. It was a day just filled with science, with happiness, with love, and just really we got the chance to live out a lot of our dreams today, listening to the descriptions from the crew. So we got to have a lot of fun. We got to feel their
07/04/2026 - 02:20:38 (-3 TMZ) | 05:06:45:38 (Artemis Clock) | We also have a lot of science to follow up on. So today I think was just the beginning a little bit, and there on your screen, for those at home, you can see a look inside the science evaluation room. Now it's a little bit empty, as folks have wrapped up that lunar flyby, but again, it's just the beginning for some of that data, but for those who may not know,
07/04/2026 - 02:21:04 (-3 TMZ) | 05:06:46:04 (Artemis Clock) | And so our response, our goal was to actually listen to those questions, get responses, and actually try to get those back up to help them be excited about it.
07/04/2026 - 02:21:09 (-3 TMZ) | 05:06:46:09 (Artemis Clock) | Go ahead.
07/04/2026 - 02:21:29 (-3 TMZ) | 05:06:46:29 (Artemis Clock) | a new spot for a trash bag, so we came up with a plan, and if it's all right with you, I will let you know what we did to update the stowage.
07/04/2026 - 02:21:32 (-3 TMZ) | 05:06:46:32 (Artemis Clock) | We are happy to receive
07/04/2026 - 02:21:56 (-3 TMZ) | 05:06:46:56 (Artemis Clock) | Okay, we managed to fill bag 2 of locker D with three trash bags and some other dry trash packaging stuff. That was the last location y'all gave us. We then emptied bag 8 of D by deploying...
07/04/2026 - 02:22:16 (-3 TMZ) | 05:06:47:16 (Artemis Clock) | and one pack of compaction plates into the toilet.
07/04/2026 - 02:22:21 (-3 TMZ) | 05:06:47:21 (Artemis Clock) | That is perfect. That is the next action we would have given you, so bravo.
07/04/2026 - 02:22:41 (-3 TMZ) | 05:06:47:41 (Artemis Clock) | And good night. Good night, talk to you in a minute.
07/04/2026 - 02:22:47 (-3 TMZ) | 05:06:47:47 (Artemis Clock) | And we just heard some communication there between NASA astronaut Christina Koch.
07/04/2026 - 02:23:28 (-3 TMZ) | 05:06:48:28 (Artemis Clock) | Again, I am here with Marie Henderson, Artemis II Deputy Lunar Science Lead. We were just talking about some of the moments from the flyby. So can you tell us a little bit about what some of the biggest moments are that stood out to you during the flyby? Yeah, I think that first time we started to hear their descriptions of colors coming down was one of those things.
07/04/2026 - 02:23:59 (-3 TMZ) | 05:06:48:59 (Artemis Clock) | That they saw some impact flashes. It was just, it was a dream, and we have so much work to do, and we're very excited about it. So the crew following the flyby was in the process of downlinking and beginning to downlink some of that data and the imagery, but now that the lunar flyby is complete, what comes next?
